SampleID	Pyruvate.Oxidation	Alcohol.Utilization	Lactate.Utilization	Acetogenesis	Acetate.to.Acetyl-CoA	Pyruvate.to.Acetyl-CoA 	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_arctica_NECBIFX2020001	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_arctica_NECBIFX2020017	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_aurantia_208	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_aurantia_S3788	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_aurantia_S3790	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_aurantia_S3895	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_bablabjr004	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_bablabjr010	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_bablabjr011	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_citrea_DSM8771	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_citrea_S2231	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_citrea_S2233	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_distincta_16SW7	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_distincta_22A13	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_distincta_ATCC700518	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_distincta_KMM3548	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_distincta_LMG14908	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_donghaensis_HJ51	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_espejiana_DSM9414	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_flavipulchra_ATCCBAA314	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_flavipulchra_LMG20361	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_flavipulchra_NCIMB2033	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_flavipulchra_S1925	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_flavipulchra_SCSIO43202	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_fuliginea_KMM216	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_fuliginea_S2292	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_galatheae_S4498	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_gelatinilytica_NH153	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_kknpp56	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
